Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Bear English;0,16;3;36;0,0833;0,1;0,3;2,1; --;0;0;0,00;0
Fur English;0,14;3;32;0,0938;0,11;0,34;1,8;6;0;0;0,00;0
Scarf English;0,62;13;1417;0,0092;0,32;4,1;1,2;9;0;0;0,00;0
Poncho English;0,5;2;99;0,0202;0,06;0,11;2,4;7;0;0;0,00;0
Poncho English;0,14;0;5;0;0;0;1; --;0;0;0,00;0
Poncho English;0,5;18;451;0,0399;0,11;2,04;1;4;0;0;0,00;0
Bolivian Sweaters English;0,21;6;50;0,12;0,09;0,52;1,2;5;0;0;0,00;0
Bolivian Alpaca English;0,15;0;1;0;0;0;2; --;0;0;0,00;0
Ruana English;0,35;22;2327;0,0095;0,24;5,2;1,7;9;0;0;0,00;0
Poncho English;1,98;23;107;0,215;0,34;7,85;1,1;9;0;0;0,00;0
Clothing English;0,55;4;58;0,069;0,44;1,77;1,7;6;0;0;0,00;0
Peruvian Alpaca Clothing English;0,14;1;12;0,0833;0,1;0,1;1,9;6;0;0;0,00;0
Poncho English;0,18;0;8;0;0;0;1,8;6;0;0;0,00;0
Scarf English;0,05;2;16;0,125;0,02;0,04;2,8;7;0;0;0,00;0
Bolivian Alpaca English;0,02;0;1;0;0;0;2; --;0;0;0,00;0
Bolivian Sweaters English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,21;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,35;6;297;0,0202;0,26;1,56;1,7;5;0;0;0,00;0
Scarf English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,28;0;0;0;0;0;0;9;0;0;0,00;0
Peruvian Alpaca Clothing English;0,42;4;46;0,087;0,31;1,23;1,8;8;0;0;0,00;0
Sweater Women English;0,02;0;4;0;0;0;4,3; --;0;0;0,00;0
Sweater English;0,44;0;4;0;0;0;2;2;0;0;0,00;0
Sweater English;0,42;7;18;0,3889;0,24;1,66;1,5;9;0;0;0,00;0
Sweater English;0,28;14;651;0,0215;0,16;2,23;1,3;6;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,28;0;8;0;0;0;2,5;8;0;0;0,00;0
Poncho English;0,37;0;34;0;0;0;1,1; --;0;0;0,00;0
Sweater English;1;9;79;0,1139;0,31;2,78;2,1;9;0;0;0,00;0
Poncho English;0,5;8;30;0,2667;0,18;1,43;1,8;9;0;0;0,00;0
Poncho English;0,34;14;170;0,0824;0,22;3,09;1,2;6;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,35;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,02;2;50;0,04;0,01;0,02;2,3; --;0;0;0,00;0
Sweater English;0,04;1;2;0,5;0,04;0,04;1;9;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,14;0;10;0;0;0;1;8;0;0;0,00;0
Poncho English;0,41;2;50;0,04;0,26;0,51;1,1;6;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,08;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,28;0;0;0;0;0;0;9;0;0;0,00;0
Sweater English;0,23;0;12;0;0;0;4,4; --;0;0;0,00;0
Poncho English;0,14;0;1;0;0;0;3;7;0;0;0,00;0
Sweater English;0,56;6;27;0,2222;0,2;1,18;1;6;0;0;0,00;0
Bolivian Alpaca English;0,03;1;73;0,0137;0,02;0,02;2,2;6;0;0;0,00;0
